       Step     Time          Energy          fmax
LBFGS:    0 12:34:27     -148.649306        0.118194
LBFGS:    1 12:34:27     -148.650729        0.107679
LBFGS:    2 12:34:27     -148.659023        0.032860
LBFGS:    3 12:34:27     -148.659132        0.030409
LBFGS:    4 12:34:27     -148.660128        0.017201
LBFGS:    5 12:34:28     -148.660180        0.017851
LBFGS:    6 12:34:28     -148.660448        0.016027
LBFGS:    7 12:34:28     -148.660696        0.016477
LBFGS:    8 12:34:28     -148.660904        0.014456
